"CityServiceValcon, LLC (CSV)",,,,,,,,,,,
,,,,,,,,,,,
"Customer/
Invoice
Number",Invoice,Due,unk,Invoice Amount,Discount Amount,Invoice Balance,TransType,TransDate, TransAmount ,"Check
Number/Type","Deposit
Date"
0886287-IN,10/6/2025,11/10/2025,1/0/1900,"1,132.75",0.00,"1,132.75",INV,10/7/2025," 1,132.75 ",,
CL47772-IN,9/30/2025,10/10/2025,1/0/1900,"6,638.54",0.00,"6,638.54",INV,9/30/2025," 6,638.54 ",,
Customer 0000215 Totals:,,,,"7,978.58",0.00,"7,978.58",,," 7,978.58 ",,
0000231 Wayne & Anne Thompson,,,,,,,,,,,
S071907-IN,10/10/2025,11/10/2025,1/0/1900,218.93,0.00,218.93,INV,10/10/2025, 218.93 ,,
Customer 0000231 Totals:,,,,218.93,0.00,218.93,,, 218.93 ,,
0000233 B Squared Hospitality Inc.,,,,,,,,,,,
S071801-IN,10/3/2025,11/10/2025,1/0/1900,112.57,0.00,112.57,INV,10/3/2025, 112.57 ,,
Customer 0000233 Totals:,,,,112.57,0.00,112.57,,, 112.57 ,,
0000245 Whitefish Golf Course,,,,,,,,,,,
0888662-IN,10/10/2025,11/10/2025,1/0/1900,"2,747.23",0.00,"2,747.23",INV,10/10/2025," 2,747.23 ",,
Customer 0000245 Totals:,,,,"2,747.23",0.00,"2,747.23",,," 2,747.23 ",,
0000250 Phillips 66 (GM),,,,,,,,,,,
0558813-IN,2/3/2022,3/10/2022,1/0/1900,"7,901.60",0.00,93.55-,INV,2/3/2022," 7,901.60 ",,
,,,,,,,PAY,3/7/2022," (7,995.15)",WIRES0307,3/7/2022
0883732-IN,9/19/2025,10/10/2025,1/0/1900,"2,407.30",0.00,"2,407.30",INV,9/19/2025," 2,407.30 ",,
0884487-IN,9/23/2025,10/10/2025,1/0/1900,"1,606.52",0.00,"1,606.52",INV,9/23/2025," 1,606.52 ",,
0885450-IN,9/26/2025,10/10/2025,1/0/1900,"3,491.43",0.00,"3,491.43",INV,9/26/2025," 3,491.43 ",,
0886286-IN,9/30/2025,10/10/2025,1/0/1900,"1,619.29",0.00,"1,619.29",INV,9/30/2025," 1,619.29 ",,
0887147-IN,10/3/2025,11/10/2025,1/0/1900,"3,101.45",0.00,"3,101.45",INV,10/3/2025," 3,101.45 ",,
0887899-IN,10/7/2025,11/10/2025,1/0/1900,"2,514.48",0.00,"2,514.48",INV,10/7/2025," 2,514.48 ",,
0888692-IN,10/10/2025,11/10/2025,1/0/1900,"2,579.24",0.00,"2,579.24",INV,10/10/2025," 2,579.24 ",,
0888950-IN,10/10/2025,11/10/2025,1/0/1900,"7,405.22",0.00,"7,405.22",INV,10/10/2025," 7,405.22 ",,
0889427-IN,10/14/2025,11/10/2025,1/0/1900,"1,467.82",0.00,"1,467.82",INV,10/14/2025," 1,467.82 ",,
0889734-IN,10/14/2025,11/10/2025,1/0/1900,"7,577.98",0.00,"7,577.98",INV,10/14/2025," 7,577.98 ",,
0890226-IN,10/17/2025,11/10/2025,1/0/1900,"1,973.46",0.00,"1,973.46",INV,10/17/2025," 1,973.46 ",,
Customer 0000250 Totals:,,,,"43,645.79",0.00,"35,650.64",,," 35,650.64 ",,
0000258 Becky & Rich Schrade,,,,,,,,,,,
S050374-IN,10/10/2025,11/10/2025,1/0/1900,520.80,0.00,520.80,INV,10/13/2025, 520.80 ,,
Customer 0000258 Totals:,,,,520.80,0.00,520.80,,, 520.80 ,,
0000263 Gary & Connie Callos,,,,,,*** On Credit Hold ***,,,,,
AUG0009-FC,8/31/2025,8/31/2025,1/0/1900,1.99,0.00,1.99,F/C,8/31/2025, 1.99 ,,
SEP0009-FC,9/30/2025,9/30/2025,1/0/1900,1.99,0.00,1.99,F/C,9/30/2025, 1.99 ,,
W254400-IN,7/14/2025,8/10/2025,1/0/1900,132.50,0.00,132.50,INV,7/14/2025, 132.50 ,,
Customer 0000263 Totals:,,,,136.48,0.00,136.48,,, 136.48 ,,
0000268 Richard Sherman,,,,,,,,,,,
0061424-PP,6/14/2024,6/14/2024,1/0/1900,400.00-,0.00,400.00-,PRE,6/14/2024, (400.00),2638,6/14/2024
LP0324-PP,3/18/2024,3/18/2024,1/0/1900,400.00-,0.00,0.21-,PRE,3/18/2024, (400.00),2631,3/18/2024
,,,,,,,PAY,7/17/2025, 399.79 ,071725APLY,7/17/2025
Customer 0000268 Totals:,,,,800.00-,0.00,400.21-,,, (400.21),,
"0000290 Winter Sports, Inc",,,,,,,,,,,
0883353-IN,9/16/2025,10/10/2025,1/0/1900,470.81,0.00,470.81,INV,9/18/2025, 470.81 ,,
0887374-IN,10/6/2025,11/10/2025,1/0/1900,783.98,0.00,783.98,INV,10/7/2025, 783.98 ,,
S339207-IN,9/24/2025,10/10/2025,1/0/1900,855.26,0.00,855.26,INV,9/26/2025, 855.26 ,,
Customer 0000290 Totals:,,,,"2,110.05",0.00,"2,110.05",,," 2,110.05 ",,
0000294 Bodin V Wisti,,,,,,,,,,,
0000123-PP,1/31/2023,1/31/2023,1/0/1900,"2,222.00-",0.00,18.18-,PRE,1/31/2023," (2,222.00)",,1/31/2023
,,,,,,,PAY,2/17/2023," 2,022.00 ",02.17.23,2/17/2023
,,,,,,,PAY,11/20/2023, 181.82 ,APPLY1123,11/20/2023
Customer 0000294 Totals:,,,,"2,222.00-",0.00,18.18-,,, (18.18),,
0000302 Jonathan Detweiler,,,,,,,,,,,
W259271-IN,8/21/2025,9/10/2025,1/0/1900,99.00,0.00,99.00-,INV,8/21/2025, 99.00 ,,
,,,,,,,PAY,9/11/2025, (198.00),5246,9/11/2025
Customer 0000302 Totals:,,,,99.00,0.00,99.00-,,, (99.00),,
0000309 Tom Ulrich,,,,,,,,,,,
0838770-IN,3/26/2025,4/10/2025,1/0/1900,604.81,0.00,37.35-,INV,3/26/2025, 604.81 ,,
,,,,,,,PAY,4/4/2025, (642.16),8615,4/4/2025
0886330-IN,10/1/2025,11/10/2025,1/0/1900,564.65,0.00,564.65,INV,10/1/2025, 564.65 ,,
Customer 0000309 Totals:,,,,"1,169.46",0.00,527.30,,, 527.30 ,,
0000315 Les & Theresa Volk,,,,,,,,,,,
W257824-IN,8/13/2025,9/10/2025,1/0/1900,194.40,0.00,14.40,INV,8/15/2025, 194.40 ,,
,,,,,,,PAY,8/26/2025, (180.00),082625WIRE,8/26/2025
Customer 0000315 Totals:,,,,194.40,0.00,14.40,,, 14.40 ,,
0000316 Fred & Lynn Weiss,,,,,,,,,,,
W263741-IN,9/26/2025,10/10/2025,1/0/1900,79.50,0.00,79.50,INV,9/29/2025, 79.50 ,,
Customer 0000316 Totals:,,,,79.50,0.00,79.50,,, 79.50 ,,
0000318 Aries Enterprises LLC,,,,,,*** Credit Limit Exceeded ***,,,,,
0888794-IN,10/11/2025,10/21/2025,1/0/1900,"35,720.38",0.00,"35,720.38",INV,10/14/2025," 35,720.38 ",,
0889523-IN,10/15/2025,10/25/2025,1/0/1900,"31,821.18",0.00,"31,821.18",INV,10/17/2025," 31,821.18 ",,
5870868-PP,10/17/2025,10/17/2025,1/0/1900,"12,658.37-",0.00,"12,658.37-",PRE,10/17/2025," (12,658.37)",C5870868,10/17/2025
5870869-PP,10/17/2025,10/17/2025,1/0/1900,272.12,0.00,272.12,PRE,10/17/2025, 272.12 ,F5870869,10/17/2025
5870953-PP,10/17/2025,10/17/2025,1/0/1900,292.08,0.00,292.08,PRE,10/17/2025, 292.08 ,C5870953,10/17/2025
5870954-PP,10/17/2025,10/17/2025,1/0/1900,19.22,0.00,19.22,PRE,10/17/2025, 19.22 ,C5870954,10/17/2025
5870955-PP,10/17/2025,10/17/2025,1/0/1900,68.59,0.00,68.59,PRE,10/17/2025, 68.59 ,C5870955,10/17/2025
5870956-PP,10/17/2025,10/17/2025,1/0/1900,5.78-,0.00,5.78-,PRE,10/17/2025, (5.78),C5870956,10/17/2025
5870957-PP,10/17/2025,10/17/2025,1/0/1900,11.84,0.00,11.84,PRE,10/17/2025, 11.84 ,C5870957,10/17/2025
5870958-PP,10/17/2025,10/17/2025,1/0/1900,0.62-,0.00,0.62-,PRE,10/17/2025, (0.62),C5870958,10/17/2025
5873236-PP,10/20/2025,10/20/2025,1/0/1900,"12,455.20-",0.00,"12,455.20-",PRE,10/20/2025," (12,455.20)",C5873236,10/20/2025
5873237-PP,10/20/2025,10/20/2025,1/0/1900,258.52,0.00,258.52,PRE,10/20/2025, 258.52 ,F5873237,10/20/2025
5873323-PP,10/20/2025,10/20/2025,1/0/1900,59.66,0.00,59.66,PRE,10/20/2025, 59.66 ,C5873323,10/20/2025
5873324-PP,10/20/2025,10/20/2025,1/0/1900,93.45,0.00,93.45,PRE,10/20/2025, 93.45 ,C5873324,10/20/2025
5873325-PP,10/20/2025,10/20/2025,1/0/1900,3.74-,0.00,3.74-,PRE,10/20/2025, (3.74),C5873325,10/20/2025
5873326-PP,10/20/2025,10/20/2025,1/0/1900,10.52,0.00,10.52,PRE,10/20/2025, 10.52 ,C5873326,10/20/2025
5873327-PP,10/20/2025,10/20/2025,1/0/1900,0.74-,0.00,0.74-,PRE,10/20/2025, (0.74),C5873327,10/20/2025
S050573-IN,10/16/2025,11/10/2025,1/0/1900,312.94,0.00,312.94,INV,10/17/2025, 312.94 ,,
S345170-IN,10/2/2025,11/10/2025,1/0/1900,265.50,0.00,265.50,INV,10/8/2025, 265.50 ,,
S345418-IN,10/6/2025,11/10/2025,1/0/1900,384.80,0.00,384.80,INV,10/8/2025, 384.80 ,,
S345901-IN,10/9/2025,11/10/2025,1/0/1900,371.88,0.00,371.88,INV,10/13/2025, 371.88 ,,
S346145-IN,10/13/2025,11/10/2025,1/0/1900,576.84,0.00,576.84,INV,10/14/2025, 576.84 ,,
W265171-IN,10/1/2025,11/10/2025,1/0/1900,161.16,0.00,161.16,INV,10/7/2025, 161.16 ,,
W265597-IN,10/13/2025,10/23/2025,1/0/1900,116.73,0.00,116.73,INV,10/13/2025, 116.73 ,,
Customer 0000318 Totals:,,,,"45,692.96",0.00,"45,692.96",,," 45,692.96 ",,
0000321 MaryAnn Gromley,,,,,,*** On Credit Hold ***,,,,,
AUG0010-FC,8/31/2025,8/31/2025,1/0/1900,1.15,0.00,1.15,F/C,8/31/2025, 1.15 ,,
JUL0011-FC,7/31/2025,7/31/2025,1/0/1900,1.15,0.00,1.15,F/C,7/31/2025, 1.15 ,,
JUN0010-FC,6/30/2025,6/30/2025,1/0/1900,1.15,0.00,1.15,F/C,6/30/2025, 1.15 ,,
SEP0011-FC,9/30/2025,9/30/2025,1/0/1900,1.15,0.00,1.15,F/C,9/30/2025, 1.15 ,,
W250647-IN,6/12/2025,6/15/2025,1/0/1900,95.00,0.00,92.26,INV,6/12/2025, 95.00 ,,
,,,,,,,PAY,6/19/2025, (2.74),061625APLY,6/19/2025
Customer 0000321 Totals:,,,,99.60,0.00,96.86,,, 96.86 ,,
0000335 Gene & Kathy Clark,,,,,,,,,,,
PB0924-PP,9/18/2024,9/18/2024,1/0/1900,995.00-,0.00,436.50-,PRE,9/18/2024, (995.00),6698,9/18/2024
,,,,,,,PAY,3/11/2025, 558.50 ,031125APLY,3/11/2025
S050488-IN,10/15/2025,11/10/2025,1/0/1900,263.67,0.00,263.67,INV,10/16/2025, 263.67 ,,
Customer 0000335 Totals:,,,,731.33-,0.00,172.83-,,, (172.83),,
0000340 Jackie & Lynn Reeder,,,,,,,,,,,
PB0925-PP,9/5/2025,9/5/2025,1/0/1900,975.00-,0.00,975.00-,PRE,9/5/2025, (975.00),11856,9/5/2025
W259274-IN,8/21/2025,9/10/2025,1/0/1900,109.00,0.00,109.00-,INV,8/21/2025, 109.00 ,,
,,,,,,,PAY,9/3/2025, (109.00),APPLY08.25,9/3/2025
,,,,,,,PAY,9/5/2025, (109.00),11856,9/5/2025
Customer 0000340 Totals:,,,,866.00-,0.00,"1,084.00-",,," (1,084.00)",,
0000363 Bitner Trucking LLC,,,,,,,,,,,
S071782-IN,10/1/2025,11/10/2025,1/0/1900,173.78,0.00,173.78,INV,10/1/2025, 173.78 ,,
Customer 0000363 Totals:,,,,173.78,0.00,173.78,,, 173.78 ,,
0000366 MPR Inc,,,,,,,,,,,
0889484-IN,10/14/2025,10/21/2025,1/0/1900,"30,238.31",0.00,"30,238.31",INV,10/16/2025," 30,238.31 ",,
5848225-PP,10/7/2025,10/7/2025,1/0/1900,"2,112.04-",0.00,"2,112.04-",PRE,10/7/2025," (2,112.04)",C5848225,10/7/2025
5848226-PP,10/7/2025,10/7/2025,1/0/1900,34.07,0.00,34.07,PRE,10/7/2025, 34.07 ,F5848226,10/7/2025
5848227-PP,10/7/2025,10/7/2025,1/0/1900,64.14-,0.00,64.14-,PRE,10/7/2025, (64.14),C5848227,10/7/2025
5848228-PP,10/7/2025,10/7/2025,1/0/1900,0.73,0.00,0.73,PRE,10/7/2025, 0.73 ,F5848228,10/7/2025
5850558-PP,10/8/2025,10/8/2025,1/0/1900,864.86-,0.00,864.86-,PRE,10/8/2025, (864.86),C5850558,10/8/2025
5850559-PP,10/8/2025,10/8/2025,1/0/1900,12.93,0.00,12.93,PRE,10/8/2025, 12.93 ,F5850559,10/8/2025
5850560-PP,10/8/2025,10/8/2025,1/0/1900,76.35-,0.00,76.35-,PRE,10/8/2025, (76.35),C5850560,10/8/2025
5850561-PP,10/8/2025,10/8/2025,1/0/1900,1.46,0.00,1.46,PRE,10/8/2025, 1.46 ,F5850561,10/8/2025
5852991-PP,10/9/2025,10/9/2025,1/0/1900,"1,748.04-",0.00,"1,748.04-",PRE,10/9/2025," (1,748.04)",C5852991,10/9/2025
5852992-PP,10/9/2025,10/9/2025,1/0/1900,41.51,0.00,41.51,PRE,10/9/2025, 41.51 ,F5852992,10/9/2025
5852993-PP,10/9/2025,10/9/2025,1/0/1900,981.27-,0.00,981.27-,PRE,10/9/2025, (981.27),C5852993,10/9/2025
5852994-PP,10/9/2025,10/9/2025,1/0/1900,17.54,0.00,17.54,PRE,10/9/2025, 17.54 ,F5852994,10/9/2025
5855478-PP,10/10/2025,10/10/2025,1/0/1900,"1,920.92-",0.00,"1,920.92-",PRE,10/10/2025," (1,920.92)",C5855478,10/10/2025
5855479-PP,10/10/2025,10/10/2025,1/0/1900,30.00,0.00,30.00,PRE,10/10/2025, 30.00 ,F5855479,10/10/2025
5855480-PP,10/10/2025,10/10/2025,1/0/1900,"1,080.53-",0.00,"1,080.53-",PRE,10/10/2025," (1,080.53)",C5855480,10/10/2025
5855481-PP,10/10/2025,10/10/2025,1/0/1900,20.46,0.00,20.46,PRE,10/10/2025, 20.46 ,F5855481,10/10/2025
5858057-PP,10/13/2025,10/13/2025,1/0/1900,"1,932.51-",0.00,"1,932.51-",PRE,10/13/2025," (1,932.51)",C5858057,10/13/2025
5858058-PP,10/13/2025,10/13/2025,1/0/1900,29.62,0.00,29.62,PRE,10/13/2025, 29.62 ,F5858058,10/13/2025
5858059-PP,10/13/2025,10/13/2025,1/0/1900,"2,167.56-",0.00,"2,167.56-",PRE,10/13/2025," (2,167.56)",C5858059,10/13/2025
5858060-PP,10/13/2025,10/13/2025,1/0/1900,35.16,0.00,35.16,PRE,10/13/2025, 35.16 ,F5858060,10/13/2025
5858061-PP,10/13/2025,10/13/2025,1/0/1900,"1,065.08-",0.00,"1,065.08-",PRE,10/13/2025," (1,065.08)",C5858061,10/13/2025
5858062-PP,10/13/2025,10/13/2025,1/0/1900,17.63,0.00,17.63,PRE,10/13/2025, 17.63 ,F5858062,10/13/2025
5860341-PP,10/13/2025,10/13/2025,1/0/1900,"1,728.14-",0.00,"1,728.14-",PRE,10/13/2025," (1,728.14)",C5860341,10/13/2025
5860342-PP,10/13/2025,10/13/2025,1/0/1900,27.12,0.00,27.12,PRE,10/13/2025, 27.12 ,F5860342,10/13/2025
5860343-PP,10/13/2025,10/13/2025,1/0/1900,545.19-,0.00,545.19-,PRE,10/13/2025, (545.19),C5860343,10/13/2025
5860344-PP,10/13/2025,10/13/2025,1/0/1900,7.10,0.00,7.10,PRE,10/13/2025, 7.10 ,F5860344,10/13/2025
5860345-PP,10/13/2025,10/13/2025,1/0/1900,21.22-,0.00,21.22-,PRE,10/13/2025, (21.22),C5860345,10/13/2025
5860346-PP,10/13/2025,10/13/2025,1/0/1900,0.33,0.00,0.33,PRE,10/13/2025, 0.33 ,F5860346,10/13/2025
5862741-PP,10/13/2025,10/13/2025,1/0/1900,"1,674.62-",0.00,"1,674.62-",PRE,10/13/2025," (1,674.62)",C5862741,10/13/2025
5862742-PP,10/13/2025,10/13/2025,1/0/1900,25.51,0.00,25.51,PRE,10/13/2025, 25.51 ,F5862742,10/13/2025
5862743-PP,10/13/2025,10/13/2025,1/0/1900,"1,452.37-",0.00,"1,452.37-",PRE,10/13/2025," (1,452.37)",C5862743,10/13/2025
5862744-PP,10/13/2025,10/13/2025,1/0/1900,22.19,0.00,22.19,PRE,10/13/2025, 22.19 ,F5862744,10/13/2025
5864800-PP,10/14/2025,10/14/2025,1/0/1900,"1,979.77-",0.00,"1,979.77-",PRE,10/14/2025," (1,979.77)",C5864800,10/14/2025
5864801-PP,10/14/2025,10/14/2025,1/0/1900,31.83,0.00,31.83,PRE,10/14/2025, 31.83 ,F5864801,10/14/2025
5864802-PP,10/14/2025,10/14/2025,1/0/1900,201.21-,0.00,201.21-,PRE,10/14/2025, (201.21),C5864802,10/14/2025
5864803-PP,10/14/2025,10/14/2025,1/0/1900,3.53,0.00,3.53,PRE,10/14/2025, 3.53 ,F5864803,10/14/2025
5867039-PP,10/15/2025,10/15/2025,1/0/1900,"2,070.98-",0.00,"2,070.98-",PRE,10/15/2025," (2,070.98)",C5867039,10/15/2025
5867040-PP,10/15/2025,10/15/2025,1/0/1900,37.02,0.00,37.02,PRE,10/15/2025, 37.02 ,F5867040,10/15/2025
5867041-PP,10/15/2025,10/15/2025,1/0/1900,256.40-,0.00,256.40-,PRE,10/15/2025, (256.40),C5867041,10/15/2025
5867042-PP,10/15/2025,10/15/2025,1/0/1900,3.98,0.00,3.98,PRE,10/15/2025, 3.98 ,F5867042,10/15/2025
5869338-PP,10/16/2025,10/16/2025,1/0/1900,"1,861.19-",0.00,"1,861.19-",PRE,10/16/2025," (1,861.19)",C5869338,10/16/2025
5869339-PP,10/16/2025,10/16/2025,1/0/1900,29.99,0.00,29.99,PRE,10/16/2025, 29.99 ,F5869339,10/16/2025
5869340-PP,10/16/2025,10/16/2025,1/0/1900,104.41-,0.00,104.41-,PRE,10/16/2025, (104.41),C5869340,10/16/2025
5869341-PP,10/16/2025,10/16/2025,1/0/1900,1.30,0.00,1.30,PRE,10/16/2025, 1.30 ,F5869341,10/16/2025
5869342-PP,10/16/2025,10/16/2025,1/0/1900,25.15-,0.00,25.15-,PRE,10/16/2025, (25.15),C5869342,10/16/2025
5869343-PP,10/16/2025,10/16/2025,1/0/1900,0.11,0.00,0.11,PRE,10/16/2025, 0.11 ,F5869343,10/16/2025
5871674-PP,10/17/2025,10/17/2025,1/0/1900,"1,511.26-",0.00,"1,511.26-",PRE,10/17/2025," (1,511.26)",C5871674,10/17/2025
5871675-PP,10/17/2025,10/17/2025,1/0/1900,29.45,0.00,29.45,PRE,10/17/2025, 29.45 ,F5871675,10/17/2025
5871676-PP,10/17/2025,10/17/2025,1/0/1900,"1,031.09-",0.00,"1,031.09-",PRE,10/17/2025," (1,031.09)",C5871676,10/17/2025
5871677-PP,10/17/2025,10/17/2025,1/0/1900,17.17,0.00,17.17,PRE,10/17/2025, 17.17 ,F5871677,10/17/2025
5874123-PP,10/20/2025,10/20/2025,1/0/1900,"1,975.83-",0.00,"1,975.83-",PRE,10/20/2025," (1,975.83)",C5874123,10/20/2025
5874124-PP,10/20/2025,10/20/2025,1/0/1900,33.61,0.00,33.61,PRE,10/20/2025, 33.61 ,F5874124,10/20/2025
5874125-PP,10/20/2025,10/20/2025,1/0/1900,"1,151.04-",0.00,"1,151.04-",PRE,10/20/2025," (1,151.04)",C5874125,10/20/2025
5874126-PP,10/20/2025,10/20/2025,1/0/1900,18.69,0.00,18.69,PRE,10/20/2025, 18.69 ,F5874126,10/20/2025
W266084-IN,10/15/2025,10/22/2025,1/0/1900,134.04,0.00,134.04,INV,10/16/2025, 134.04 ,,
Customer 0000366 Totals:,,,,700.78-,0.00,700.78-,,, (700.78),,
0000376 Luann & William Ganz,,,,,,,,,,,
0121824-PP,12/18/2024,12/18/2024,1/0/1900,481.25-,0.00,204.28-,PRE,12/18/2024, (481.25),121824WIRE,12/18/2024
,,,,,,,PAY,1/30/2025, 190.47 ,APPLY0125,1/30/2025
,,,,,,,PAY,4/23/2025, 86.50 ,APPLY0425,4/23/2025
Customer 0000376 Totals:,,,,481.25-,0.00,204.28-,,, (204.28),,
0000384 John & Darlene Miller,,,,,,,,,,,
PP0524-PP,5/16/2024,5/16/2024,1/0/1900,224.50-,0.00,95.69-,PRE,5/16/2024, (224.50),5873,5/16/2024
,,,,,,,PAY,5/31/2025, 128.81 ,APPLY0525,5/31/2025
W263742-IN,9/26/2025,10/10/2025,1/0/1900,100.70,0.00,100.70,INV,9/29/2025, 100.70 ,,
Customer 0000384 Totals:,,,,123.80-,0.00,5.01,,, 5.01 ,,
0000398 Karl Dilling,,,,,,,,,,,
W263743-IN,9/26/2025,10/10/2025,1/0/1900,75.39,0.00,75.39,INV,9/29/2025, 75.39 ,,
Customer 0000398 Totals:,,,,75.39,0.00,75.39,,, 75.39 ,,
0000402 Russ McAllister,,,,,,,,,,,
PB0825-PP,9/1/2025,9/1/2025,1/0/1900,"1,045.58-",0.00,"1,045.58-",PRE,9/1/2025," (1,045.58)",1763,9/1/2025
PB2025-PP,10/7/2025,10/7/2025,1/0/1900,904.42-,0.00,904.42-,PRE,10/7/2025, (904.42),,10/7/2025
Customer 0000402 Totals:,,,,"1,950.00-",0.00,"1,950.00-",,," (1,950.00)",,
0000405 Robert Zavala,,,,,,,,,,,
0887279-IN,10/6/2025,11/10/2025,1/0/1900,331.66,0.00,331.66,INV,10/7/2025, 331.66 ,,
0888088-IN,10/8/2025,11/10/2025,1/0/1900,413.47,0.00,413.47,INV,10/8/2025, 413.47 ,,
Customer 0000405 Totals:,,,,745.13,0.00,745.13,,, 745.13 ,,
0000418 Vernon & Jeanne Howard,,,,,,,,,,,
W266195-IN,10/15/2025,11/10/2025,1/0/1900,70.00,0.00,70.00,INV,10/17/2025, 70.00 ,,
Customer 0000418 Totals:,,,,70.00,0.00,70.00,,, 70.00 ,,
0000423 Gary Bolhuis,,,,,,,,,,,
PB0923-PP,9/13/2023,9/13/2023,1/0/1900,"1,392.00-",0.00,148.99-,PRE,9/13/2023," (1,392.00)",19271,9/13/2023
,,,,,,,PAY,3/20/2024, 626.40 ,APPLY0324,3/20/2024
,,,,,,,PAY,9/29/2025, 616.61 ,APPLY09.25,9/29/2025
Customer 0000423 Totals:,,,,"1,392.00-",0.00,148.99-,,, (148.99),,
0000425 Jim & Rebecca Garritty,,,,,,*** Credit Limit Exceeded ***,,,,,
S339680-IN,8/22/2025,9/10/2025,1/0/1900,87.85,0.00,30.00,INV,8/22/2025, 87.85 ,,
,,,,,,,PAY,9/26/2025, (57.85),50028,9/26/2025
SEP0012-FC,9/30/2025,9/30/2025,1/0/1900,0.45,0.00,0.45,F/C,9/30/2025, 0.45 ,,
Customer 0000425 Totals:,,,,88.30,0.00,30.45,,, 30.45 ,,
0000432 Debra & James Sattler,,,,,,,,,,,
PB1025-PP,10/10/2025,10/10/2025,1/0/1900,"1,170.00-",0.00,"1,170.00-",PRE,10/10/2025," (1,170.00)",*1932,10/10/2025
Customer 0000432 Totals:,,,,"1,170.00-",0.00,"1,170.00-",,," (1,170.00)",,
0000444 Julie & Ryley Nybo,,,,,,*** Credit Limit Exceeded ***,,,,,
SEP0013-FC,9/30/2025,9/30/2025,1/0/1900,1.55,0.00,1.55,F/C,9/30/2025, 1.55 ,,
W257825-IN,8/13/2025,9/10/2025,1/0/1900,103.65,0.00,103.65,INV,8/15/2025, 103.65 ,,
Customer 0000444 Totals:,,,,105.20,0.00,105.20,,, 105.20 ,,
0000445 Montana Timberline,,,,,,,,,,,
0886759-IN,10/2/2025,11/10/2025,1/0/1900,860.49,0.00,860.49,INV,10/2/2025, 860.49 ,,
Customer 0000445 Totals:,,,,860.49,0.00,860.49,,, 860.49 ,,
0000447 Alethia Ussher,,,,,,*** Credit Limit Exceeded ***,,,,,
SEP0014-FC,9/30/2025,9/30/2025,1/0/1900,1.51,0.00,1.51,F/C,9/30/2025, 1.51 ,,
Customer 0000447 Totals:,,,,1.51,0.00,1.51,,, 1.51 ,,
0000460 Thomas & Linda Foster,,,,,,,,,,,
0070125-PP,7/1/2025,7/1/2025,1/0/1900,45.00-,0.00,30.73-,PRE,7/1/2025, (45.00),0000996562,7/1/2025
,,,,,,,PAY,9/2/2025, 14.27 ,0000996574,9/2/2025
0080425-PP,8/4/2025,8/4/2025,1/0/1900,45.00-,0.00,45.00-,PRE,8/4/2025, (45.00),0000996565,8/4/2025
0090225-PP,9/2/2025,9/2/2025,1/0/1900,45.00-,0.00,45.00-,PRE,9/2/2025, (45.00),0000996574,9/2/2025
0100325-PP,10/3/2025,10/3/2025,1/0/1900,45.00-,0.00,45.00-,PRE,10/3/2025, (45.00),0000996594,10/3/2025
Customer 0000460 Totals:,,,,180.00-,0.00,165.73-,,, (165.73),,
0000463 Crystal Ehrgott,,,,,,,,,,,
0061724-PP,6/17/2024,6/17/2024,1/0/1900,201.02-,0.00,87.08-,PRE,6/17/2024, (201.02),1037,6/17/2024
,,,,,,,PAY,9/27/2024, 157.48 ,092724ADJ,9/27/2024
,,,,,,,PAY,2/7/2025, (43.54),1065,2/7/2025
S064169-IN,3/5/2024,4/10/2024,1/0/1900,338.87,0.00,326.65-,INV,3/5/2024, 338.87 ,,
,,,,,,,PAY,4/11/2024, (338.87),110,4/11/2024
,,,,,,,PAY,5/13/2024, (338.88),1026,5/13/2024
,,,,,,,PAY,5/23/2024, 137.86 ,052324APLY,5/23/2024
,,,,,,,PAY,2/7/2025, (201.02),1065,2/7/2025
,,,,,,,PAY,10/7/2025, 75.39 ,100725APLY,10/7/2025
Customer 0000463 Totals:,,,,137.85,0.00,413.73-,,, (413.73),,
0000474 Leona Mast,,,,,,,,,,,
S036622-IN,10/8/2025,11/10/2025,1/0/1900,189.72,0.00,189.72,INV,10/10/2025, 189.72 ,,
Customer 0000474 Totals:,,,,189.72,0.00,189.72,,, 189.72 ,,
0000489 Dane Hollinger,,,,,,*** Credit Limit Exceeded ***,,,,,
S049412-IN,9/2/2025,10/10/2025,1/0/1900,263.81,0.00,263.81,INV,9/5/2025, 263.81 ,,
S049587-IN,9/8/2025,10/10/2025,1/0/1900,"1,314.24",0.00,"1,314.24",INV,9/10/2025," 1,314.24 ",,
Customer 0000489 Totals:,,,,"1,578.05",0.00,"1,578.05",,," 1,578.05 ",,
0000492 Christine E Lester,,,,,,,,,,,
0091925-PP,9/19/2025,9/19/2025,1/0/1900,25.00-,0.00,25.00-,PRE,9/19/2025, (25.00),5100,9/19/2025
PB0924-PP,9/13/2024,9/13/2024,1/0/1900,"1,385.82-",0.00,184.53-,PRE,9/13/2024," (1,385.82)",641247,9/13/2024
,,,,,,,PAY,1/20/2025, 551.83 ,APPLY0125,1/20/2025
,,,,,,,PAY,3/21/2025, 649.46 ,APPLY03.25,3/21/2025
PB0925-PP,9/19/2025,9/19/2025,1/0/1900,975.00-,0.00,975.00-,PRE,9/19/2025, (975.00),5100,9/19/2025
Customer 0000492 Totals:,,,,"2,385.82-",0.00,"1,184.53-",,," (1,184.53)",,
0000514 Edith Ware,,,,,,,,,,,
